NAMA,KOORDINAT,ALAMAT,KOTA,KECAMATAN,KELURAHAN
Kisaran Timur,"2.9711480999999997, 99.6431824","XJCV+F73, Jl. Marah Rusli, Mutiara, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21222",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Rumah makan 1112,"2.9699234999999997, 99.627983","depan sma negeri 2 kisaran, Jl. Latsitarda Nusantara VIII Nusantara, Kisaran Naga, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21211",KAB. ASAHAN,KOTA KISARAN TIMUR,-
RIVERVIEW Kafe dan Restoran,"2.9733058, 99.6287187","Jl. Imam Bonjol, Kisaran Kota, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21211",KAB. ASAHAN,KOTA KISARAN TIMUR,-
DIZZA RESTO,"2.9828726999999997, 99.6571283","XMM4+4VR, Jl. Budi Utomo, Siumbut Baru, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21263",KAB. ASAHAN,KOTA KISARAN TIMUR,-
PONDOK LESEHAN,"2.9842823, 99.6680619","XMM9+P67, Siumbut Umbut, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21263",KAB. ASAHAN,KOTA KISARAN TIMUR,-
RM Pondok Kelapa,"2.9744118, 99.6296325","Jl. Imam Bonjol No.313, Teladan, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21211",KAB. ASAHAN,KOTA KISARAN TIMUR,-
RM Rasa Sayang,"2.9740398, 99.6291656","Jl. Imam Bonjol Komp. Ruko Kota Mas, Teladan, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21211",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Fastfood Restaurant,"2.9871687, 99.6435422","XJPV+VC7, Jl. Ir. Juanda, Karang Anyer, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21221",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Rumah Jamur 208 KISARAN,"2.9826466999999997, 99.6581741","XMM5+373, Jl. Budi Utomo, Siumbut Baru, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21263",KAB. ASAHAN,KOTA KISARAN TIMUR,-
KONCO kisaran,"2.9778579, 99.641232","Jl. Ir. Sumantri No.68, Selawan, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21221",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Etek Minang,"2.9802872, 99.6349652","Jl. Sisingamangaraja No.25, Kisarn Tim., Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21221",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Rumah Makan Gelombang Indah,"2.9796856999999997, 99.64209149999999","XJHR+VRG, Jl. Budi Utomo, Mutiara, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21221",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Warung Haqimi,"2.9692132, 99.62629559999999","Jl. Ir. Juanda No.148-136, Gambir Baru, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21221",KAB. ASAHAN,KOTA KISARAN TIMUR,-
WARUNG AMEL,"2.9859584, 99.66058629999999","XMP6+96P, Siumbut Baru, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21263",KAB. ASAHAN,KOTA KISARAN TIMUR,-
RM Nusantara,"2.9887364, 99.6692388","XMQ9+FMX, Jl. Budi Utomo, Siumbut Umbut, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara",KAB. ASAHAN,KOTA KISARAN TIMUR,-
WASTERN CAFE & RESTO,"2.9842364, 99.6663878","Jl. Budi Utomo, Siumbut Umbut, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21226",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Ganshu Mie & Tea,"2.9796286999999997, 99.6389159","XJHQ+VH3, Jl. Dr. Setia Budi, Selawan, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21221",KAB. ASAHAN,KOTA KISARAN TIMUR,-
BPK KISARAN,"2.9918942, 99.6390035","Jl. Fl. Tobing No.39, Gambir Baru, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21264",KAB. ASAHAN,KOTA KISARAN TIMUR,-
Lesehan Selera Masa Kini,"2.9867114999999997, 99.6694833","XMP9+MQQ, Jl. Budi Utomo, Siumbut Umbut, Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21263",KAB. ASAHAN,KOTA KISARAN TIMUR,-
